Customer_ID,Tenure_Months,Monthly_Charges,Total_Usage_GB,Subscription_Type,Payment_Method,Customer_Support_Calls,Churn
50001,39,2971.47,131.79,Premium,Net Banking,9,No
50002,52,1850.98,131.03,Standard,UPI,9,No
50003,29,672.29,474.69,Basic,UPI,6,No
50004,15,2159.66,319.55,Basic,Net Banking,3,No
50005,43,2723.91,82.17,Standard,Credit Card,5,Yes
50006,8,2311.98,362.51,Standard,Credit Card,7,No
50007,21,506.39,362.4,Premium,Net Banking,7,No
50008,39,2718.89,334.9,Basic,Debit Card,6,No
50009,58,2443.61,71.69,Standard,UPI,11,No
50010,19,727.42,206.96,Standard,Credit Card,1,No
50011,23,439.82,57.84,Standard,Net Banking,1,No
50012,11,1804.74,409.23,Basic,Debit Card,2,Yes
50013,11,721.3,329.31,Premium,UPI,3,No
50014,24,2553.4,256.07,Basic,Net Banking,0,No
50015,53,1267.5,174.79,Premium,Net Banking,4,No
50016,36,2764.81,96.2,Premium,Net Banking,6,No
50017,40,1827.36,57.69,Basic,UPI,11,Yes
50018,24,793.22,484.77,Basic,Credit Card,9,Yes
50019,3,676.92,103.83,Standard,UPI,10,No
50020,22,1856.48,34.64,Standard,UPI,4,No
50021,53,2357.09,481.03,Basic,Credit Card,6,Yes
50022,2,2410.07,276.73,Premium,Net Banking,4,No
50023,24,1044.54,399.35,Standard,Debit Card,10,Yes
50024,44,851.47,26.66,Basic,Debit Card,9,No
50025,30,345.24,285.64,Standard,Credit Card,7,No
50026,38,2133.84,202.11,Basic,Credit Card,6,No
50027,2,506.73,387.12,Basic,Net Banking,0,Yes
50028,21,1436.06,24.02,Standard,Debit Card,10,No
50029,33,1924.54,203.84,Basic,Debit Card,0,No
50030,12,2830.19,400.54,Standard,Net Banking,11,No
50031,58,1141.87,263.74,Premium,Credit Card,4,No
50032,22,974.38,277.27,Premium,Credit Card,1,No
50033,44,2066.23,53.1,Basic,Net Banking,8,Yes
50034,25,1971.95,70.5,Basic,Credit Card,1,No
50035,49,1196.7,340.11,Standard,UPI,11,No
50036,27,2805.87,339.15,Standard,Credit Card,8,No
50037,59,2581.13,489.66,Premium,UPI,9,No
50038,42,904.75,357.42,Standard,Debit Card,1,No
50039,28,945.68,249.16,Basic,Debit Card,3,No
50040,16,1683.21,429.38,Standard,Credit Card,2,No
50041,15,2388.64,56.71,Premium,Net Banking,5,Yes
50042,47,418.91,227.4,Premium,Credit Card,3,No
50043,51,2172.0,147.12,Basic,Net Banking,8,No
50044,44,2050.24,56.8,Standard,Debit Card,8,No
50045,55,925.0,382.93,Basic,Debit Card,9,No
50046,52,2139.65,257.84,Standard,Debit Card,8,No
50047,57,2838.49,280.6,Basic,Net Banking,2,Yes
50048,3,426.32,208.57,Premium,Net Banking,2,Yes
50049,37,1163.06,232.87,Standard,Debit Card,3,No
50050,51,1483.08,62.43,Premium,Credit Card,8,No
50051,7,2728.0,338.09,Premium,Net Banking,5,No
50052,21,2898.11,219.06,Basic,UPI,8,No
50053,9,1499.11,409.3,Standard,Debit Card,7,No
50054,39,2325.08,102.16,Premium,Net Banking,6,Yes
50055,18,1735.48,106.5,Standard,Debit Card,4,No
50056,4,1752.01,324.65,Standard,UPI,8,No
50057,25,1050.87,423.77,Standard,Credit Card,3,No
50058,14,885.78,238.74,Standard,UPI,3,No
50059,50,1077.61,364.84,Basic,Credit Card,7,No
50060,58,1802.09,499.67,Standard,Credit Card,3,No
50061,9,378.72,495.18,Basic,Net Banking,6,No
50062,26,2749.57,373.45,Basic,Credit Card,3,No
50063,53,721.97,371.1,Basic,Credit Card,10,Yes
50064,2,894.24,127.57,Basic,Credit Card,0,No
50065,20,1699.35,417.6,Standard,Debit Card,9,Yes
50066,28,2217.31,205.53,Basic,Net Banking,8,No
50067,47,558.47,481.19,Basic,Net Banking,3,No
50068,7,1157.78,45.31,Premium,Credit Card,2,No
50069,44,2915.42,220.74,Premium,Debit Card,2,No
50070,8,1008.33,280.14,Premium,Credit Card,8,No
50071,47,1145.24,205.55,Premium,Net Banking,7,No
50072,35,2558.55,109.24,Basic,Net Banking,9,No
50073,14,435.58,298.53,Basic,Net Banking,6,No
